Source,Target,Weight
Ilchulbong,Airplane,0.836120725
Visit,Introduction,0.835952401
Meat,People,0.835913122
Appearance,Park,0.835803926
Village,Seaside,0.835715234
Space,Possibility,0.835422575
Abalone,Hot Pot,0.835199833
Meat,Spot,0.83519733
Scenery,Sky,0.835157394
Food,Jeju city,0.835107386
Use,Resort,0.835030437
Popular restaurant,Seogwipo,0.834949195
Thinking,Braised cutlassfish,0.834936738
Village,Sightseeing,0.834793925
Meat,House,0.834535658
Braised cutlassfish,Branch,0.834523559
Road,Introduction,0.834497869
Scenery,Space,0.834449649
Scenery,Recommendation,0.834447861
Thinking,Summer,0.834425628
Coffee,Reservation,0.834293425
Order,Meal,0.834273994
Sea,Hallasan mountain,0.834212959
Village,Mood,0.834176064
Hotel,Pension,0.834151864
House,Side dish,0.834094584
Abalone,Park,0.833934069
Spot,Hot Pot,0.83392626
Coast,Famous,0.833889306
Accomodation,Spot,0.833743036
Recommendation,Autumn,0.833669603
Experience,House,0.833466589
Spot,Jeju city,0.833355546
Abalone,Sightseeing,0.833332658
Appearance,Visit,0.833221138
Braised cutlassfish,Family,0.833001673
Village,Emotion,0.832873881
Seogwipo,Tree,0.832676172
Abalone,Autumn,0.832661033
Spot,Village,0.832379818
Order,Seogwipo,0.831969857
Visit,Autumn,0.831938863
Jungmun tourism complex,Sightseeing,0.831848681
Jeju Island,Summer,0.831842184
Aewol,Filming,0.831647813
Seogwipo,Airplane,0.831450999
Sea,Autumn,0.831392944
Road,Tree,0.831321597
Jeju Island,Weather,0.831255913
Photo,Jungmun tourism complex,0.831206918
House,Space,0.830879271
Space,Entrance,0.830738068
Braised cutlassfish,Entrance,0.830730379
Thinking,Airplane,0.83055836
Weather,Hot Pot,0.830476046
Visit,Emotion,0.830264091
Pension,Airplane,0.830136955
Course,Beach,0.829909682
Hotel,Cutlassfish,0.829751432
Meal,Hallasan mountain,0.829717636
Course,WaterFall,0.829673886
Scenery,Airplane,0.8295632
Park,Ready,0.829562604
Course,Accomodation,0.829549372
Pension,Seaside,0.82952261
Experience,Entrance,0.829492807
Braised cutlassfish,Sky,0.829453349
Recommendation,WaterFall,0.829387367
Hotel,Hot Pot,0.829357922
Cutlassfish,Sightseeing,0.829204977
Appearance,Sightseeing,0.829133272
Jeju Island,Grilled dish,0.828870475
Photo,Lunch,0.82885474
Hallasan mountain,Lunch,0.82877779
Seogwipo,Entrance,0.82868439
Seongsan,Spot,0.828665435
Course,Food,0.828607023
Scenery,Entrance,0.828463972
Price,Park,0.828420341
Order,Visit,0.828367054
Wind,Emotion,0.828341246
Location,Summer,0.828336775
Spot,Visit,0.828242421
Photo,Sea,0.827959239
Travel,Airplane,0.827871919
Seogwipo,Lunch,0.827791333
Emotion,Woman diver,0.827623188
Abalone,Grilled dish,0.827501535
Seongsan,Wind,0.827468514
Market,Branch,0.827358305
Order,Village,0.827255487
Course,Branch,0.827232003
Dinner,Reservation,0.826964438
Popular restaurant,WaterFall,0.826933503
Seaside,House,0.826884866
Reservation,Branch,0.826736927
Recommendation,Space,0.826599538
Photo,Famous,0.826595664
Meal,Reservation,0.826589227
Pension,Hot Pot,0.826379716
Hot Pot,Summer,0.826377392
Jeju city,Park,0.8262887
Wind,Ilchulbong,0.826277435
Mind,Visit,0.825915933
Jeju city,Name,0.825791597
Jeju Island,Reservation,0.825781405
Hotel,Meal,0.825694084
Cafe,Menu,0.82562989
Recommendation,Experience,0.825608552
Airplane,Summer,0.825506091
Seaside,Autumn,0.825366616
Travel,Seongsan,0.825347185
Appearance,Emotion,0.825343192
Famous,Name,0.825273275
Jeju Island,Order,0.825261593
Pension,Emotion,0.825128019
House,Tourism,0.825126648
Time,Airplane,0.825101852
Morning,Accomodation,0.825041771
Popular restaurant,Accomodation,0.825024664
Seaside,Dinner,0.824868917
Restaurant,Reservation,0.824809849
Hallasan mountain,House,0.82433182
Popular restaurant,Visit,0.824324489
Airplane,Tourism,0.824306965
Sky,Woman diver,0.824110448
Menu,Pension,0.824094951
Side dish,Autumn,0.824010789
Tree,Ready,0.824006855
Airplane,Resort,0.823997498
Pension,Family,0.823996902
Emotion,Tourism,0.823951602
Coffee,Ready,0.823748052
Jeju Island,Jeju city,0.823452413
Seaside,Coffee,0.823103905
Pension,Sashimi restaurant,0.823077142
Pension,Filming,0.822954118
Tree,Sashimi restaurant,0.822784245
Wind,Airplane,0.822627783
Experience,Hot Pot,0.822527587
Meal,Road,0.822440267
Space,Tourism,0.822398067
Space,Visit,0.822350442
Spot,Airplane,0.822333574
Accomodation,Famous,0.822246552
Morning,Wind,0.822147787
Coast,Jeju city,0.821860373
Cutlassfish,WaterFall,0.821818471
Airport,Hallasan mountain,0.821814239
Experience,Park,0.821781814
Abalone,Wind,0.821488917
Jeju Island,Side dish,0.82138598
Meat,Thinking,0.82133317
Morning,WaterFall,0.821332455
Photo,Mood,0.821285903
Road,Hallasan mountain,0.821229339
Wind,Sightseeing,0.821202278
Seogwipo,Side dish,0.821141303
Sky,Summer,0.820764124
Cutlassfish,Seaside,0.820700586
Restaurant,Braised cutlassfish,0.820547402
Travel,Weather,0.820437133
Recommendation,Grilled dish,0.820312738
Course,Tourism,0.820295274
Visit,WaterFall,0.820278347
Ready,Reservation,0.820243835
Seaside,Mood,0.820129156
Scenery,Braised cutlassfish,0.820087612
Braised cutlassfish,House,0.819930971
Pension,House,0.819811523
Spot,Road,0.819599926
Appearance,Hallasan mountain,0.81951648
Sea,Meat,0.819424152
Dinner,Aewol,0.819402158
Course,Price,0.819384933
Wind,Dinner,0.819380045
Restaurant,Recommendation,0.819291413
Course,Famous,0.819251537
Morning,Ready,0.81921643
Course,Village,0.819155991
Abalone,House,0.818948746
Meat,Autumn,0.818899214
Jeju Island,Sky,0.818806052
Coffee,Sightseeing,0.81877768
Park,Aewol,0.818715036
Famous,Reservation,0.818673551
Jeju Island,Popular restaurant,0.818627119
Order,Name,0.818598688
Tree,Hot Pot,0.818595171
Hallasan mountain,Park,0.818589389
Weather,Park,0.818497658
Order,Tourism,0.818282366
Scenery,Tree,0.818243146
Jeju Island,Autumn,0.81823653
Tree,Visit,0.818231881
Appearance,Tourism,0.818223238
Weather,Seaside,0.818208694
Scenery,Emotion,0.818160713
