Source,Target,Weight
Restaurant,Representative,0.738047898
Education,Designation,0.738026321
Resident,Welfare,0.737765491
Plan,Bicycle,0.73775816
Creation,Evaluation,0.737704575
Use,Information,0.737679541
Rural,Banpo-myeon,0.737617373
Road,Shingwan-dong,0.73747927
Business,Provide,0.737011611
Gongju,Provide,0.737008989
Culture,Bicycle,0.736961782
Market,Agriculture,0.736836135
Utilization,Building,0.736752748
Gongsanseong fortress,Daejeon,0.736747146
Installation,Price,0.736577034
Interior,Afternoon,0.736574292
Participation,Apartment,0.736391783
Creation,School,0.736194909
Welfare,Use,0.736186683
Apartment,Group,0.735995233
Resident,Rural,0.735841453
Housing,Information,0.735761106
Administrative,Institution,0.735609055
Safety,Installation,0.735563397
Nature,Bicycle,0.735413074
Administrative,Apartment,0.735318124
Management,Road,0.73529017
Market,Resource,0.735283554
Gongju,Solar thermal power,0.735275269
Travel,Provide,0.735054791
Bicycle,City councilor,0.735045671
Apartment,Schedule,0.73485744
Festival,Program,0.734857082
Geumgang river,History,0.734790027
Business,Civil complaint,0.734523833
Administrative,Selection,0.734446406
Use,Construction,0.734365642
Development,Civil complaint,0.734256566
Bicycle,District,0.734251559
Welfare,Program,0.734029114
Development,City councilor,0.733769238
